source;target
BigAlphaID;rifkimiftahh
detikfinance;fjar_05
detikcom;Nurrohman95_
detikcom;R_kurnia_
detikcom;nurumamiahhrp
BigAlphaID;Nissa119_
BigAlphaID;adipardana
detikcom;ajizaan
BigAlphaID;afikris
BigAlphaID;shalahuddinn
BigAlphaID;Lilisstyo
BigAlphaID;mfadlira9
BigAlphaID;albert_kristian
BigAlphaID;putradwitir
BigAlphaID;YahyaSahlan
detikcom;AlexanderRambe5
detikcom;IGANSulastrini
BigAlphaID;deny_ikhsan
detikcom;bhismaaa10
kompascom;hadhmeant
BigAlphaID;gitagitch
BigAlphaID;AryoSekti
BigAlphaID;rmfdimasd
detikfinance;MedyKristian
detikcom;hendraarshavin
detikcom;coco68148758
BigAlphaID;pramesthya_
BigAlphaID;investorgabut
BigAlphaID;srejeki27
BigAlphaID;thenameisdaw
detikcom;Bayyekkk
cnbcindonesia;_shizun
BigAlphaID;edgarrendhitya
BigAlphaID;imamkrohman
BigAlphaID;pimamanggala
KontanNews;eddyjoni
BigAlphaID;renrenika
detikcom;rickysnggh
BigAlphaID;ainunnazarr
BigAlphaID;ramadhannDP
detikcom;dianfitriaa_
BigAlphaID;boytaufiqn
detikcom;cakeppps
detikcom;andi_suraid
detikcom;aninditaaa__
BigAlphaID;Ibnumajahh
BigAlphaID;lukas_WNS
detikcom;arhidayat_
BigAlphaID;Putri_Loviena
BigAlphaID;promecarus
BigAlphaID;DioWahyu
BigAlphaID;caffeineyg
BigAlphaID;prd_bryan
BigAlphaID;pengensugihcuk
detikcom;daw_nanda
BigAlphaID;syarasy
BigAlphaID;rikeursyn
BigAlphaID;Maralintu
BigAlphaID;monkiminko
detikcom;fariha_10
cnbcindonesia;rablack77
BigAlphaID;dianamaharbid
BigAlphaID;aisyahimass
kompascom;AEPishere
BigAlphaID;ileanfs
cnbcindonesia;sayasajaqwerty
detikcom;wiwinrejola
BigAlphaID;wwinwwon
SilumanRi;roon3651
BigAlphaID;amengvp
BigAlphaID;restistygrn
Danstauber2;raniuy
cnbcindonesia;Herrreza
runturambi_w;dannydhe
BigAlphaID;virveran
BigAlphaID;ArfL18_
